label,text,processed_text,encoded_label
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go jurong point crazy available on bugi n great world la e buffet cine there got amore wat,0
ham,Ok lar... Joking wif u oni...,ok lar jok wif u oni,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry <NUM> wk comp win fa cup final tkt <NUM>st may <NUM> text fa <NUM> receive entry questionstd txt ratetc app <NUM>over<NUM>,1
ham,U dun say so early hor... U c already then say...,u dun say so ear hor u c already then say,0
ham,"Nah I don't think he goes to usf, he lives around here though",nah dont think goe usf liv around here though,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darl <NUM> week now no word back id like some fun up still tb ok xxx std chg send å<NUM><NUM> rcv,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even brother not like speak treat like aid patent,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune all caller press <NUM> copy friend callertune,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea å<NUM> prize reward claim call <NUM> claim code kl<NUM> valid <NUM> hour on,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile <NUM> month more u r entitled update latest colour mobil camera free call mobile update co free <NUM>,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chanc win cash <NUM> <NUM><NUM> pound txt> csh<NUM> send <NUM> cost <NUM>pday <NUM>day <NUM> tsandc app rep hl <NUM> info,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent won <NUM> week free membership å<NUM><NUM> prize jackpot txt word claim no <NUM> tc wwwdbuknet lccltd pobox <NUM>ldnw<NUM>a<NUM>rw<NUM>,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ive search right word thank breather promise wont take help granted will fulfil promise wonderful bless all tim,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,date sunday will,0
