label,text
0,go jurong point crazi avail onli bugi n great world la e buffet cine there got amor wat
0,ok lar joke wif u oni
1,free entri num wkli comp win fa cup final tkt num st may num text fa num receiv entri questionstd txt ratetc appli num over num s
0,u dun say so earli hor u c alreadi then say
0,nah dont think goe usf live around here though
1,freemsg hey there darl num week now no word back id like some fun up still tb ok xxx std chg send å num num rcv
0,even brother not like speak treat like aid patent
0,per request mell mell oru minnaminungint nurungu vettam set callertun all caller press num copi friend callertun
1,winner valu network custom select receivea å num prize reward claim call num claim code kl num valid num hour onli
1,mobil num month more u r entitl updat latest colour mobil camera free call mobil updat co free num
0,im gon na home soon dont want talk stuff anymor tonight k ive cri enough today
1,six chanc win cash num num num pound txt csh num send num cost num pday num day num tsandc appli repli hl num info
1,urgent won num week free membership å num num prize jackpot txt word claim no num tc wwwdbuknet lccltd pobox num ldnw num num rw num
0,ive search right word thank breather promis wont take help grant will fulfil promis wonder bless all time
0,date sunday will
1,xxxmobilemovieclub use credit click wap link next txt messag click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch here
0,eh u rememb how num spell name ye v naughti make v wet
0,fine thatåõ way u feel thatåõ way gota b
1,england v macedonia dont miss goalsteam news txt ur nation team num eg england num trywal scotland num txtì¼ num num poboxox num w num wq num
0,serious how spell name
0,iûm go tri num month ha ha onli joke
0,so pay first lar then when da stock comin
0,aft finish lunch then go str down lor ard num smth lor u finish ur lunch alreadi
0,ffffffffff alright no way can meet up sooner
0,just forc myself eat slice im realli not hungri tho suck mark get worri know im sick when turn down pizza lol
0,lol alway so convinc
0,catch bu fri egg make tea eat mom left over dinner feel love
0,im back amp pack car now ill let know there room
0,ahhh work vagu rememb feel like lol
0,wait that still not all clear not sure be sarcast that whi x doesnt want live us
0,yeah got num v apologet n fallen actin like spoilt child got caught up till num wont go there not do too badli cheer
0,k tell anyth
0,fear faint all housework just quick cuppa
1,thank subscript rington uk mobil will charg å num month pleas confirm repli ye no repli no will not charg
0,yup ok go home look time then msg again xuhui go learn num nd may too lesson num
0,oop ill let know when roommat done
0,see letter b car
0,anyth lor u decid
0,hello how how saturday go just text see youd decid anyth tomo not im tri invit myself anyth
0,pl go ahead watt just want sure great weekend abiola
0,forget tell want need crave most all love sweet arabian steed mmmmmm yummi
1,num rodger burn msg tri call re repli sm free nokia mobil free camcord pleas call now num deliveri tomorrow
0,see
0,great hope like man well endow ltgt inch
0,no callsmessagesmiss call
0,didnt get hep b immunis nigeria
0,fair enough anyth go
0,yeah hope tyler cant could mayb ask around bit
0,u dont know how stubborn didnt even want go hospit kept tell mark im not weak sucker hospit weak sucker
0,think first time saw class
0,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
0,k fyi x ride earli tomorrow morn he crash place tonight
0,wow never realiz so embarass accomod thought like sinc do best could alway seem so happi cave im sorri didnt dont more give im sorri offer im sorri room so embarass
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,know mallika sherawat yesterday find now lturlgt
1,congrat num year special cinema pass num your call num now c suprman v matrix num starwar num etc all num free bx num ip num num num pm dont miss
0,sorri ill call later meet
0,tell where reach
0,yesgauti sehwag odi seri
0,gon na pick up num burger yourself way home cant even move pain kill
0,ha ha ha good joke girl situat seeker
0,part check iq
0,sorri roommat took forev ok come now
0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said will cut look nice
1,valu custom pleas advis follow recent review mob no award å num bonu prize call num
0,today song dedic day song will u dedic send all ur valuabl frnd first rpli
1,urgent ur award complimentari trip eurodisinc trav acoentri num å num claim txt di num num num å num num morefrmmob shracomorsglsuplt num ls num num aj
1,hear new divorc barbi come all ken stuff
0,plane give month end
0,wah lucki man then can save money hee
0,finish class where
0,hi babe im home now wan na someth xx
0,kkwhere youhow perform
0,u can call now
0,wait machan call onc free
0,that cool gentleman will treat digniti respect
0,like peopl veri much veri shi pa
0,not oper after ltgt
0,not same here still look job how much ta earn there
0,sorri ill call later
0,k call just now ah
0,ok way home hi hi
0,will place man
0,yup next stop
0,call later dont network urgnt sm
0,real when u get yo onli need num more ticket one more jacket im done alreadi use all multi
0,ye start send request make pain came back so im back bed doubl coin factori too got ta cash all nitro
0,im realli not up still tonight babe
0,ela kanoil download come wen ur free
0,yeah donût stand close tho youûll catch someth
0,sorri pain ok meet anoth night spent late afternoon casualti mean havent done ani y stuff num moro includ all time sheet sorri
0,smile pleasur smile pain smile when troubl pour like rain smile when sum num hurt u smile becoz someon still love see u smile
1,pleas call custom servic repres num num num between num num pm won guarante å num cash å num prize
0,havent plan buy later check alreadi lido onli got num show e afternoon u finish work alreadi
1,free rington wait collect simpli text password mix num verifi get usher britney fml
0,watch telugu moviewat abt u
0,see when finish load loan pay
0,hi wk ok hol now ye bit run forgot hairdress appoint four so need get home n shower beforehand caus prob u ham
0,pleas dont text anymor noth els say
0,okay name ur price long legal wen can pick up y u ave x am xx
0,im still look car buy not gone num drive test yet
0,per request mell mell oru minnaminungint nurungu vettam set callertun all caller press num copi friend callertun
0,wow your right didnt mean guess onc gave up boston men chang search locat nyc someth chang cuz signin page still say boston
0,umma life vava umma love lot dear
0,thank lot wish birthday thank make birthday truli memor
0,aight ill hit up when get some cash
0,how would ip address test consid comput isnt minecraft server
0,know grumpi old peopl mom like better not lie then again alway one play joke
0,dont worri guess he busi
0,plural noun research
0,go dinnermsg after
0,im ok wif co like num tri new thing scare u dun like mah co u said not too loud
1,gent tri contact last weekend draw show won å num prize guarante call num claim code k num valid num hr onli num ppm
0,wa ur openin sentenc veri formal anyway im fine too juz tt im eatin too much n puttin weighthaha so anythin special happen
0,enter cabin pa said happi bday boss felt special askd num lunch after lunch invit apart went there
1,winner u special select num receiv å num num holiday flight inc speak live oper num claim num pmin num
0,goodo ye must speak friday eggpotato ratio tortilla need
0,hmmmi uncl just inform he pay school directli so pl buy food
1,privat num account statement num show num unredeem bonu point claim call num identifi code num expir
1,urgent mobil no award å num bonu caller prize num num num final tri contact u call landlin num box num wr num c num ppm
0,here new address applespairsal malarki
1,today voda number end num select receiv num award match pleas call num quot claim code num standard rate app
0,go sao mu today will done onli num
0,ìï predict wat time finish buy
0,good stuff will
0,just so knowyetund hasnt sent money yet just sent text not bother send so over dont involv yourself anyth shouldnt impos anyth first place so apologis
0,there room
0,hey girl how r u hope u r well del r bak again long time no c give call sum time lucyxx
0,kkhow much cost
0,im home
0,dear will call tmorrowpl accomod
0,first answer question
1,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr num å num num sptyron
1,want num get laid tonight want real dog locat sent direct num ur mob join uk largest dog network bt txting gravel num nt ec num num pmsg num p
0,onli haf msn yijuehotmailcom
0,there call meet
0,no no will check all room befor activ
1,youll not rcv ani more msg chat svc free hardcor servic text go num u get noth u must age verifi yr network tri again
0,got c lazi type forgot lect saw pouch like not v nice
0,k text when your way
0,sir wait mail
0,swt thought nver get tire do littl thing num lovabl person cozsomtim those littl thing occupi d biggest part heart gud ni num
0,know can pl open back
0,ye see ya not dot
0,what staff name take class us
1,freemsg whi havent repli text im randi sexi femal live local luv hear u netcollex ltd num p per msg repli stop end
0,ummmawil call after check inour life will begin qatar so pl pray veri hard
0,ki delet contact whi
0,sindu got job birla soft
0,wine flow im never
0,yup thk cine better co no need num go down num plaza mah
0,ok ur typic repli
0,per request mell mell oru minnaminungint nurungu vettam set callertun all caller press num copi friend callertun
0,everywher dirt floor window even shirt sometim when open mouth all come flow dream world without then half chore too time joy lot tv show ill see guess like all thing just must exist like rain hail mist when time here done becom one
0,aaooooright work
0,im leav hous now
0,hello love do get interview today happi be good boy think mear miss
1,custom servic annonc new year deliveri wait pleas call num now arrang deliveri
1,winner u special select num receiv å num cash num holiday flight inc speak live oper num claim num
0,keep yourself safe need miss alreadi envi everyon see real life
0,new car hous parentsi onli new job hand
0,im so love im excit each day spend make so happi
1,pl stop bootydeli num f invit friend repli ye num no num see wwwsmsacubootydeli stop send stop frnd num
1,bangbab ur order way u should receiv servic msg num download ur content u not goto wap bangb tv ur mobil internetservic menu
0,place all ur point e cultur modul alreadi
1,urgent tri contact last weekend draw show won å num prize guarante call num claim code s num valid num hr onli
0,hi frnd best way avoid missunderstd wit belov one
0,great escap fanci bridg need lager see tomo
0,ye complet formclark also utter wast
0,sir need axi bank account no bank address
0,hmmm thk sure got time hop ard ya can go num free abt muz call u discuss liao
0,time come down later
0,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin m
0,well im gon na finish bath now goodfin night
0,let know when youv got money so carlo can make call
0,u still go mall
0,turn friend stay whole show wont back til ltgt so feel free go ahead smoke ltgt worth
0,text doesnt repli let know so can log
0,hi just spoke maneesha v wed like know satisfi experi repli toll free ye no
0,lift hope offer money need especi when end month approach hurt studi anyway gr num weekend
0,lol no u can trust
0,ok gentleman will treat digniti respect
0,will guy close
0,go noth greatby
0,hello handsom find job not be lazi work toward get back net mummi where boytoy now miss
0,haha awesom there minut
1,pleas call custom servic repres freephon num num num between num num pm won guarante å num cash å num prize
0,got xma radio time not will get now
0,ju reach home go bath first si use net tell u when finish k
1,uniqu enough find num th august wwwareyouuniquecouk
0,im sorri ive join leagu peopl dont keep touch mean great deal friend all time even great person cost great week
0,hi final complet cours
0,will stop itself howev suggest stay someon will abl give or everi stool
0,how do hope youv settl new school year just wishin gr num day
0,gud mrng dear hav nice day
0,u got person stori
0,hamster dead hey so tmr meet num pm orchard mrt
0,hi kate how even hope can see tomorrow bit bloodi babyjontet txt back u can xxx
0,found enc ltgt where
0,sent ltgt buck
0,hello darlin ive finish colleg now so txt when u finish u can love kate xxx
0,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt
0,goodmorn sleep ga
0,u call alter num ok
0,ìï say like dat dun buy ericsson oso can not oredi lar
0,enter cabin pa said happi bday boss felt special askd num lunch after lunch invit apart went there
0,aight yo dat straight dogg
0,pleas give us connect today itself befor ltdecimalgt refund bill
0,both shoot big load so get readi
0,what up bruv hope great break reward semest
0,home so can alway chat
0,kkgoodstudi well
0,yup how noe leh
0,sound great home now
0,final match head toward draw predict
0,tire havent slept well past few night
0,easi ahsen got select mean good
0,take exam march num
0,yeah should think can use gt atm now regist not sure there anyway can help let know when sure readi
0,ok no prob take ur time
0,there os call ubandu will run without instal hard diskyou can use os copi import file system give repair shop
0,sorri ill call later
0,u say leh cours noth happen lar not say v romant ju bit onli lor thk e nite sceneri not so nice leh
1,num new mobil num must go txt nokia no num collect your todayfrom onli å num www num tcbiz num optout num num gbpmtmsg num
0,would realli appreci call just need someon talk
1,will u meet ur dream partner soon ur career num flyng start num find free txt horo follow ur star sign e g horo ari
0,hey compani elama po mudyadhu
0,life more strict than teacher bcoz teacher teach lesson amp then conduct exam life first conduct exam amp then teach lesson happi morn
0,dear good morn now onli up
0,get down gandhipuram walk cross cut road right side ltgt street road turn first right
0,dear go rubber place
0,sorri batteri die yeah im here
0,yesher tv alway avail work place
1,text meet someon sexi today u can find date even flirt up u join num just num p repli name age eg sam num num msg recdthirtyeight penc
0,print oh so ltgt come upstair
0,ill littl closer like bu stop same street
0,where youwhen wil reach here
